pair,strategy,equity_value
BTCUSDT,basic,1000
BTCUSDT,basic,1000
BTCUSDT,basic,1000
BTCUSDT,basic,1000
BTCUSDT,basic,1000
BTCUSDT,basic,1000
BTCUSDT,basic,1000
BTCUSDT,basic,1000
BTCUSDT,basic,1000
BTCUSDT,basic,1000
BTCUSDT,basic,1000
BTCUSDT,basic,1000
BTCUSDT,basic,1000
BTCUSDT,basic,1000
BTCUSDT,basic,1000
BTCUSDT,basic,1000
BTCUSDT,basic,1000
BTCUSDT,basic,1000
BTCUSDT,basic,1000
BTCUSDT,basic,1000
BTCUSDT,basic,1000
BTCUSDT,basic,1000
BTCUSDT,basic,1000
BTCUSDT,basic,999.6000000000000000000000025
BTCUSDT,basic,1000.4414928444486016275371833
BTCUSDT,basic,1000.0674960246936675708539918
BTCUSDT,basic,1003.0281483490786642970723063
BTCUSDT,basic,1000.5842349639884014591712681
BTCUSDT,basic,997.5430174913478626882424494
BTCUSDT,basic,1000.3023348610981199139463125
BTCUSDT,basic,1002.0537308016088298568889746
BTCUSDT,basic,1001.3227228509961649985969532
BTCUSDT,basic,1001.6276860911046674773173723
BTCUSDT,basic,1003.9632962304742306613039030
BTCUSDT,basic,1001.0842998784023945374614187
BTCUSDT,basic,1001.1894864839584697409035663
BTCUSDT,basic,1001.9063137218220933495463499
BTCUSDT,basic,1001.9688023571228135815171665
BTCUSDT,basic,1001.5636391357216350201103757
BTCUSDT,basic,997.5180843700308670844635700
BTCUSDT,basic,996.1715399869048732578804627
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
BTCUSDT,basic,995.9289968160134692732204683
